date,pool,num.mark,pool.area,num.recap,day2,immig,emig,habitat,species
7/15/09,2,66,24.32,14,63,49,52,restored,chinook
7/15/09,3,78,15.05,17,47,30,61,restored,chinook
7/22/09,4,83,30.48,14,34,20,69,restored,chinook
7/22/09,5,64,46.35,27,41,14,37,restored,chinook
7/29/09,6,75,NA,22,56,34,53,restored,chinook
8/4/09,7,18,29.88,18,43,25,0,restored,chinook
7/27/09,8,58,21.7625,11,23,12,47,restored,chinook
7/27/09,9,19,24.49,15,26,11,4,restored,chinook
8/3/09,10,28,28.12,8,38,30,20,restored,chinook
7/13/09,1,8,6.96,0,9,9,8,unrestored,chinook
7/13/09,2,1,3.408,0,0,0,1,unrestored,chinook
7/13/09,3,3,3.12,0,2,2,3,unrestored,chinook
7/13/09,4,4,3.91,0,3,3,4,unrestored,chinook
7/13/09,5,6,7.28,0,4,4,6,unrestored,chinook
7/13/09,6,6,13.69,0,3,3,6,unrestored,chinook
7/13/09,7,28,9.24,2,11,9,26,unrestored,chinook
7/20/09,8,6,9.36,0,0,0,6,unrestored,chinook
7/20/09,9,5,9.68,2,9,7,3,unrestored,chinook
7/20/09,10,4,11.76,1,3,2,3,unrestored,chinook
7/20/09,11,22,16.53,4,10,6,18,unrestored,chinook
7/13/09,2,1,3.408,0,0,0,1,unrestored,steelhead
7/13/09,3,2,3.12,0,0,0,2,unrestored,steelhead
7/13/09,4,1,3.91,0,0,0,1,unrestored,steelhead
7/13/09,5,2,7.28,0,9,9,2,unrestored,steelhead
7/13/09,7,2,9.24,0,1,1,2,unrestored,steelhead
7/20/09,8,5,9.36,4,23,19,1,unrestored,steelhead
7/20/09,9,3,9.68,1,8,7,2,unrestored,steelhead
7/20/09,10,4,11.76,3,14,11,1,unrestored,steelhead
7/20/09,11,8,16.53,5,30,25,3,unrestored,steelhead
7/15/09,2,6,24.32,1,12,11,5,restored,steelhead
7/15/09,3,26,15.05,5,26,21,21,restored,steelhead
7/22/09,4,18,30.48,8,19,11,10,restored,steelhead
7/22/09,5,11,46.35,3,24,21,8,restored,steelhead
7/29/09,6,9,NA,3,20,17,6,restored,steelhead
8/4/09,7,23,29.88,21,29,8,2,restored,steelhead
7/27/09,8,15,21.7625,10,26,16,5,restored,steelhead
7/27/09,9,33,24.49,25,44,19,8,restored,steelhead
8/3/09,10,29,28.12,18,40,22,11,restored,steelhead
7/30/12,2 lower,86,19.22,18,36,18,68,restored,chinook
7/30/12,2 upper,54,7.56,9,27,18,45,restored,chinook
7/30/12,3 lower,52,11.2,14,69,55,38,restored,chinook
7/30/12,3 upper,37,7.56,11,31,20,26,restored,chinook
8/6/12,0 lower,78,9.24,12,24,12,66,restored,chinook
8/6/12,0 upper,30,8.88,7,16,9,23,restored,chinook
8/6/12,1 lower,12,19.25,4,8,4,8,restored,chinook
8/6/12,1 upper,23,13.8,13,18,5,10,restored,chinook
8/6/12,4 lower,49,15.84,0,0,0,49,restored,chinook
8/6/12,4 upper,21,10.78,0,3,3,21,restored,chinook
8/13/12,5,14,29.07,1,4,3,13,restored,chinook
8/13/12,9u,10,17.82,1,7,6,9,restored,chinook
8/1/12,control 1,21,34.32,2,2,0,19,unrestored,chinook
8/1/12,control 2,1,11.76,0,6,6,1,unrestored,chinook
8/1/12,control 3,9,7.02,1,4,3,8,unrestored,chinook
8/1/12,control 4,20,8.4,4,14,10,16,unrestored,chinook
8/1/12,control 5,12,10.56,5,12,7,7,unrestored,chinook
8/8/12,control 10,9,8.05,0,2,2,9,unrestored,chinook
8/8/12,control 11,22,14.04,9,20,11,13,unrestored,chinook
8/8/12,control 6,10,7.2,1,5,4,9,unrestored,chinook
8/8/12,control 7,30,11.9,10,28,18,20,unrestored,chinook
8/8/12,control 8,6,14.72,2,7,5,4,unrestored,chinook
8/8/12,control 9,12,9,4,7,3,8,unrestored,chinook
8/1/12,control 1,3,34.32,1,2,1,2,unrestored,steelhead
8/1/12,control 2,2,11.76,1,6,5,1,unrestored,steelhead
8/1/12,control 3,5,7.02,5,5,0,0,unrestored,steelhead
8/1/12,control 4,2,8.4,1,2,1,1,unrestored,steelhead
8/8/12,control 10,2,8.05,2,4,2,0,unrestored,steelhead
8/8/12,control 11,3,14.04,1,7,6,2,unrestored,steelhead
8/8/12,control 6,2,7.2,0,1,1,2,unrestored,steelhead
8/8/12,control 7,1,11.9,0,3,3,1,unrestored,steelhead
8/8/12,control 8,2,14.72,0,0,0,2,unrestored,steelhead
8/8/12,control 9,2,9,1,2,1,1,unrestored,steelhead
7/30/12,2 lower,2,19.22,0,1,1,2,restored,steelhead
7/30/12,2 upper,1,7.56,1,5,4,0,restored,steelhead
7/30/12,3 lower,2,11.2,0,2,2,2,restored,steelhead
7/30/12,3 upper,2,7.56,1,3,2,1,restored,steelhead
8/6/12,0 lower,5,9.24,2,4,2,3,restored,steelhead
8/6/12,0 upper,7,8.88,2,6,4,5,restored,steelhead
8/6/12,1 upper,2,13.8,1,4,3,1,restored,steelhead
8/6/12,4 lower,6,15.84,1,2,1,5,restored,steelhead
8/6/12,4 upper,4,10.78,0,1,1,4,restored,steelhead
8/13/12,5,3,29.07,1,3,2,2,restored,steelhead
7/31/13,0,62,83.65,15,62,47,47,restored,chinook
7/31/13,1,41,54.58,23,55,22,18,restored,chinook
7/31/13,2,77,75.24,24,86,61,55,restored,chinook
7/31/13,4,25,62.73,3,13,10,22,restored,chinook
7/31/13,5,45,89.68,26,39,13,19,restored,chinook
7/31/13,6,80,64.51,37,76,39,83,restored,chinook
7/31/13,7,61,42.2,23,35,12,38,restored,chinook
7/31/13,8,96,46.58,24,58,34,72,restored,chinook
7/31/13,9,57,29.62,11,32,21,46,restored,chinook
8/5/13,2,1,27.74,1,3,2,0,unrestored,chinook
8/5/13,3,3,25.2,1,1,0,2,unrestored,chinook
8/5/13,4,24,23.37,0,1,1,24,unrestored,chinook
8/5/13,5,6,27.3,3,10,7,3,unrestored,chinook
8/5/13,6,17,25.2,0,4,4,17,unrestored,chinook
8/5/13,7,44,42.56,15,39,24,29,unrestored,chinook
8/5/13,8,16,31.28,6,17,11,10,unrestored,chinook
8/5/13,9,4,27.6,1,3,2,10,unrestored,chinook
8/5/13,10,7,22.42,1,7,6,6,unrestored,chinook
8/5/13,11,21,35.28,5,20,15,16,unrestored,chinook
7/31/13,0,2,83.65,2,10,8,0,restored,steelhead
7/31/13,1,9,54.58,5,10,5,4,restored,steelhead
7/31/13,4,2,62.73,0,8,8,2,restored,steelhead
7/31/13,5,5,89.68,3,7,4,2,restored,steelhead
7/31/13,6,5,64.51,4,7,3,1,restored,steelhead
7/31/13,7,13,42.2,7,13,6,6,restored,steelhead
7/31/13,8,1,46.58,1,2,1,0,restored,steelhead
7/31/13,9,4,29.62,0,3,3,4,restored,steelhead
8/5/13,2,3,27.74,0,0,0,3,unrestored,steelhead
8/5/13,3,2,25.2,0,2,2,2,unrestored,steelhead
8/5/13,4,5,23.37,0,4,4,4,unrestored,steelhead
8/5/13,5,3,27.3,1,7,6,2,unrestored,steelhead
8/5/13,6,2,25.2,0,4,4,2,unrestored,steelhead
8/5/13,7,3,42.56,0,1,1,2,unrestored,steelhead
8/5/13,8,5,31.28,1,2,1,4,unrestored,steelhead
8/5/13,9,5,27.6,0,6,6,5,unrestored,steelhead
8/5/13,10,3,22.42,0,0,0,3,unrestored,steelhead
8/5/13,11,2,35.28,1,5,4,1,unrestored,steelhead
8/3/16,0,35,27,1,7,6,34,restored,chinook
8/3/16,1,9,44,0,0,0,9,restored,chinook
8/3/16,2,25,32.5,0,0,0,25,restored,chinook
8/8/16,7,2,27,1,1,0,1,restored,chinook
8/8/16,10,4,30,0,1,0,3,restored,chinook
8/8/16,6B,4,25.5,0,0,0,4,restored,chinook
8/1/16,1,19,8.75,6,10,4,13,unrestored,chinook
8/1/16,2,17,16.5,3,10,7,14,unrestored,chinook
8/1/16,3,1,4.55,0,3,3,1,unrestored,chinook
8/1/16,5,7,15.84,3,3,0,4,unrestored,chinook
8/1/16,6,2,6,0,3,3,2,unrestored,chinook
8/1/16,7,12,13.64,0,0,0,12,unrestored,chinook
8/1/16,1,2,8.75,0,0,0,2,unrestored,steelhead
8/1/16,2,1,16.5,0,0,0,1,unrestored,steelhead
8/1/16,5,1,15.84,0,1,1,1,unrestored,steelhead
8/3/16,0,4,27,1,0,0,3,restored,steelhead
8/3/16,1,2,44,0,0,0,2,restored,steelhead
8/3/16,2,1,32.5,0,2,2,1,restored,steelhead
8/8/16,7,3,27,1,2,1,2,restored,steelhead
8/8/16,6B,2,25.5,0,6,6,2,restored,steelhead